"TABLE_NAME"	"COLUMN_NAME"	"TABLE_TYPE"
"_zzq_20260517_projconxref_tbl"	"contactid"	"BASE TABLE"
"audcontacts_auditions_xref"	"contactid"	"BASE TABLE"
"auditions"	"contactid"	"BASE TABLE"
"audprojects"	"contactid"	"BASE TABLE"
"audroles"	"contactid"	"BASE TABLE"
"bigbrother"	"contactid"	"BASE TABLE"
"casting_notifications"	"contact_id"	"BASE TABLE"
"co_contacts"	"contactid"	"BASE TABLE"
"contact_dupe_cleanup_bak"	"contactid"	"BASE TABLE"
"contact_merge_log"	"duplicate_contactid"	"BASE TABLE"
"contact_merge_log"	"primary_contactid"	"BASE TABLE"
"contact_merge_map"	"new_contactid"	"BASE TABLE"
"contact_merge_map"	"old_contactid"	"BASE TABLE"
"contactdetails_tbl"	"contactBirthday"	"BASE TABLE"
"contactdetails_tbl"	"contactCreationDate"	"BASE TABLE"
"contactdetails_tbl"	"contactFirst"	"BASE TABLE"
"contactdetails_tbl"	"contactFullName"	"BASE TABLE"
"contactdetails_tbl"	"contactID"	"BASE TABLE"
"contactdetails_tbl"	"contactLast"	"BASE TABLE"
"contactdetails_tbl"	"contactLastUpdated"	"BASE TABLE"
"contactdetails_tbl"	"contactMaidenName"	"BASE TABLE"
"contactdetails_tbl"	"contactMeetingDate"	"BASE TABLE"
"contactdetails_tbl"	"contactMeetingLoc"	"BASE TABLE"
"contactdetails_tbl"	"contactMiddle"	"BASE TABLE"
"contactdetails_tbl"	"contactNickname"	"BASE TABLE"
"contactdetails_tbl"	"contactNotes"	"BASE TABLE"
"contactdetails_tbl"	"contactPhoto"	"BASE TABLE"
"contactdetails_tbl"	"contactPronoun"	"BASE TABLE"
"contactdetails_tbl"	"contactShortName"	"BASE TABLE"
"contactdetails_tbl"	"contactStatus"	"BASE TABLE"
"contactdetails_tbl"	"contactSuffix"	"BASE TABLE"
"contactdetails_tbl"	"contactTitle"	"BASE TABLE"
"contactdetails_tbl"	"refer_contact_id"	"BASE TABLE"
"contactitems_tbl"	"contactID"	"BASE TABLE"
"contactsimport"	"contactid"	"BASE TABLE"
"contactsimport"	"contactMeetingDate"	"BASE TABLE"
"contactsimport"	"contactMeetingLoc"	"BASE TABLE"
"eventcontactsxref_tbl"	"contactID"	"BASE TABLE"
"eventcontactsxref_tbl"	"eventContactID"	"BASE TABLE"
"events_tbl"	"contactid"	"BASE TABLE"
"events_tbl_backup"	"contactid"	"BASE TABLE"
"exportitems"	"contactBirthday"	"BASE TABLE"
"exportitems"	"contactid"	"BASE TABLE"
"exportitems"	"ContactMeetingDate"	"BASE TABLE"
"exportitems"	"ContactMeetingLoc"	"BASE TABLE"
"fusystemusers_tbl"	"contactID"	"BASE TABLE"
"import_job_rows"	"created_contactid"	"BASE TABLE"
"import_job_rows"	"matched_contactid"	"BASE TABLE"
"import_v3_row_results"	"contactid"	"BASE TABLE"
"import_v3_rows"	"created_contactid"	"BASE TABLE"
"import_v3_rows"	"matched_contactid"	"BASE TABLE"
"import_v3_rows"	"updated_contactid"	"BASE TABLE"
"noteslog_tbl"	"contactID"	"BASE TABLE"
"notifications_tbl"	"contactid"	"BASE TABLE"
"shares"	"contactid"	"BASE TABLE"
"shares"	"contactphoto"	"BASE TABLE"
"taousers_tbl"	"contactid"	"BASE TABLE"
"tmpcontactgroups_tbl"	"contactGroup"	"BASE TABLE"
"tmpcontactgroups_tbl"	"contactgroupid"	"BASE TABLE"
"tmpcontactgroups_tbl"	"contactid"	"BASE TABLE"
"tmpcontactgrouptypes_tbl"	"contactgroup"	"BASE TABLE"
"_zzq_20260517_shares_old"	"contactid"	"VIEW"
"_zzq_20260517_shares_old"	"contactphoto"	"VIEW"
"contactdetails"	"contactBirthday"	"VIEW"
"contactdetails"	"contactCreationDate"	"VIEW"
"contactdetails"	"contactFirst"	"VIEW"
"contactdetails"	"contactFullName"	"VIEW"
"contactdetails"	"contactID"	"VIEW"
"contactdetails"	"contactLast"	"VIEW"
"contactdetails"	"contactLastUpdated"	"VIEW"
"contactdetails"	"contactMaidenName"	"VIEW"
"contactdetails"	"contactMeetingDate"	"VIEW"
"contactdetails"	"contactMeetingLoc"	"VIEW"
"contactdetails"	"contactMiddle"	"VIEW"
"contactdetails"	"contactNickname"	"VIEW"
"contactdetails"	"contactNotes"	"VIEW"
"contactdetails"	"contactPhoto"	"VIEW"
"contactdetails"	"contactPronoun"	"VIEW"
"contactdetails"	"contactShortName"	"VIEW"
"contactdetails"	"contactStatus"	"VIEW"
"contactdetails"	"contactSuffix"	"VIEW"
"contactdetails"	"contactTitle"	"VIEW"
