"section"	"tbl"	"item"	"detail"	"seq"
"A_engine"	"audcontacts_auditions_xref"	"InnoDB"	"rows_est=11180"	"0"
"A_engine"	"auditions"	"InnoDB"	"rows_est=55"	"0"
"A_engine"	"audprojects"	"InnoDB"	"rows_est=11693"	"0"
"A_engine"	"audroles"	"InnoDB"	"rows_est=11018"	"0"
"A_engine"	"casting_notifications"	"InnoDB"	"rows_est=0"	"0"
"A_engine"	"contact_merge_log"	"InnoDB"	"rows_est=7"	"0"
"A_engine"	"contact_merge_map"	"InnoDB"	"rows_est=34"	"0"
"A_engine"	"contactdetails_tbl"	"InnoDB"	"rows_est=70972"	"0"
"A_engine"	"contactitems_tbl"	"InnoDB"	"rows_est=263263"	"0"
"A_engine"	"eventcontactsxref_tbl"	"InnoDB"	"rows_est=6905"	"0"
"A_engine"	"events_tbl"	"InnoDB"	"rows_est=5396"	"0"
"A_engine"	"fusystemusers_tbl"	"InnoDB"	"rows_est=11334"	"0"
"A_engine"	"noteslog_tbl"	"InnoDB"	"rows_est=9362"	"0"
"A_engine"	"notifications_tbl"	"InnoDB"	"rows_est=3136"	"0"
"A_engine"	"shares"	"InnoDB"	"rows_est=768"	"0"
"A_engine"	"taousers_tbl"	"InnoDB"	"rows_est=1039"	"0"
"A_engine"	"tmpcontactgroups_tbl"	"InnoDB"	"rows_est=2943"	"0"
"B_audit_ddl"	"contact_merge_log"	"mergeid"	"int NOT NULL key=PRI auto_increment default=NULL"	"1"
"B_audit_ddl"	"contact_merge_log"	"userid"	"int NOT NULL key=MUL default=NULL"	"2"
"B_audit_ddl"	"contact_merge_log"	"primary_contactid"	"int NOT NULL key=MUL default=NULL"	"3"
"B_audit_ddl"	"contact_merge_log"	"duplicate_contactid"	"int NOT NULL key=MUL default=NULL"	"4"
"B_audit_ddl"	"contact_merge_log"	"merged_by"	"int NULL default=NULL"	"5"
"B_audit_ddl"	"contact_merge_log"	"merge_timestamp"	"datetime NOT NULL DEFAULT_GENERATED default=CURRENT_TIMESTAMP"	"6"
"B_audit_ddl"	"contact_merge_log"	"status"	"varchar(20) NOT NULL default=merged"	"7"
"B_audit_ddl"	"contact_merge_log"	"rows_affected"	"int NOT NULL default=0"	"8"
"B_audit_ddl"	"contact_merge_log"	"notes"	"varchar(500) NULL default=NULL"	"9"
"B_audit_ddl"	"contact_merge_map"	"mapid"	"int NOT NULL key=PRI auto_increment default=NULL"	"1"
"B_audit_ddl"	"contact_merge_map"	"mergeid"	"int NOT NULL key=MUL default=NULL"	"2"
"B_audit_ddl"	"contact_merge_map"	"tbl"	"varchar(64) NOT NULL key=MUL default=NULL"	"3"
"B_audit_ddl"	"contact_merge_map"	"pkcol"	"varchar(64) NOT NULL default=NULL"	"4"
"B_audit_ddl"	"contact_merge_map"	"pkval"	"int NOT NULL default=NULL"	"5"
"B_audit_ddl"	"contact_merge_map"	"old_contactid"	"int NOT NULL default=NULL"	"6"
"B_audit_ddl"	"contact_merge_map"	"new_contactid"	"int NOT NULL default=NULL"	"7"
"B_audit_ddl"	"contact_merge_map"	"action"	"varchar(20) NOT NULL default=NULL"	"8"
"C_indexes"	"audcontacts_auditions_xref"	"idx_audcontacts_auditions_xref"	"NONUNIQUE: contactid,audprojectid"	"0"
"C_indexes"	"audcontacts_auditions_xref"	"PRIMARY"	"UNIQUE: id"	"0"
"C_indexes"	"auditions"	"idx_auditions_contactid"	"NONUNIQUE: contactid"	"0"
"C_indexes"	"auditions"	"idx_auditions_dupe_detect"	"NONUNIQUE: userid,audition_date,project_name"	"0"
"C_indexes"	"auditions"	"idx_auditions_userid_project"	"NONUNIQUE: userid,project_name"	"0"
"C_indexes"	"auditions"	"idx_auditions_userid_status"	"NONUNIQUE: userid,status"	"0"
