"legacy_qry","call_file","line"
"eventtypes_user","calendar-appoint.cfm","4"
"events_byuser","calendar-appoint.cfm","7"
"eventtypes_user","debug-calendar-events.cfm","7"
"events_byuser","debug-calendar-events.cfm","8"
"getAllCountries","include\account_info.cfm","77"
"getAllRegions","include\account_info.cfm","78"
"getAllTimezones","include\account_info.cfm","79"
"getMinimalTimezones","include\account_info.cfm","80"
"getAllDateFormats","include\account_info.cfm","81"
"getUserDetails","include\account_info.cfm","82"
"deleteTeam","include\account_info.cfm","97"
"addTeam","include\account_info.cfm","104"
"core","app\admin-users\setup-verification.cfm","8"
"fetchUsers","app\Application.cfc","153"
"fetchUsers","app\Application.cfc","191"
"friendfamilycheck","setup\contact_info.cfm","79"
"contacts","setup\contact_info.cfm","81"
"categories","setup\contact_info.cfm","83"
"items","setup\contact_info.cfm","85"
"notesContact","setup\contact_info.cfm","87"
"SystemsContact","setup\contact_info.cfm","89"
"tagsContact","setup\contact_info.cfm","91"
"profiles","setup\contact_info.cfm","93"
"sysactive","setup\contact_info.cfm","95"
"notsall","setup\contact_info.cfm","97"
"events","setup\contact_info.cfm","99"
"systemNotificationsActive","setup\contact_info.cfm","101"
"SystemsActiveContact","setup\contact_info.cfm","103"
"ru","setup\contact_info.cfm","105"
"emailcheck","setup\contact_info.cfm","107"
"phonecheck","setup\contact_info.cfm","109"
"rels","setup\contact_info.cfm","111"
"fetchcontactitems","setup\contact_info.cfm","113"
"tagFriendCheck","setup\contact_info.cfm","115"
"update","share\remoteUpdateForm.cfm","30"
"eventtypes_user","share\assets\eventtypes_user.cfm","2"
"attachdetails_25_1","include\attachmentdelaud.cfm","10"
"del_25_2","include\attachmentdelaud.cfm","21"
"attachdetails_25_1","include\attachmentdel.cfm","11"
"del_25_2","include\attachmentdel.cfm","22"
"durations","include\appoint-update2.cfm","43"
"duration_467_1","include\appoint-update2.cfm","44"
"update_18_1","include\appoint-update2.cfm","58"
"d_18_2","include\appoint-update2.cfm","59"
"FIND_18_3","include\appoint-update2.cfm","66"
"add_14_6","include\appoint-update2.cfm","76"
"inserts_18_5","include\appoint-update2.cfm","91"
"getNoteDetails","include\attachmentaddaud.cfm","13"
"eventdetails_334_3","include\appoint-update.cfm","12"
"durations","include\appoint-update.cfm","13"
"relationships_13_1","include\appoint-update.cfm","14"
"eventtypes_user_443_2","include\appoint-update.cfm","15"
"finde_17_1","include\appoint-update.cfm","76"
"results_330_1","include\admin-support_backup.cfm","522"
"priorities_330_2","include\admin-support_backup.cfm","525"
"vers_330_3","include\admin-support_backup.cfm","528"
"fetchusers","include\attachmentadd2aud.cfm","18"
"INSERT_22_1","include\attachmentadd2aud.cfm","44"
"eventdetails_334_3","include\appoint-info.cfm","6"
"notesEvent_508_1","include\appoint-info.cfm","7"
"attendees_336_5","include\appoint-info.cfm","9"
"notesContactDetails_180_2","include\appoint-info.cfm","10"
"INSERT_22_1","include\attachmentadd2.cfm","71"
"addfuSystemUsers","include\AddSystemToContact.cfm","2"
"addDaysNo_5_2","include\AddSystemToContact.cfm","16"
