"legacy_qry","service","method","returnVar","argsSnippet","notes"
"eventtypes_user","EventtypesService","listByEventtypes","qEventtypesuser","{}",""
"events_byuser","EventsService","listByEvents","qEventsbyuser","{}",""
"getAllCountries","AllcountriesService","getAllcountries","qGetallcountries","{}",""
"getAllRegions","AllregionsService","getAllregions","qGetallregions","{}",""
"getAllTimezones","AlltimezonesService","getAlltimezones","qGetalltimezones","{}",""
"getMinimalTimezones","MinimaltimezonesService","getMinimaltimezones","qGetminimaltimezones","{}",""
"getAllDateFormats","AlldateformatsService","getAlldateformats","qGetalldateformats","{}",""
"getUserDetails","UserdetailsService","getUserdetails","qGetuserdetails","{}",""
"deleteTeam","TeamService","deleteTeam","qDeleteteam","{}",""
"addTeam","TeamService","createTeam","qAddteam","{}",""
"core","CoreService","listCore","qCore","{}",""
"fetchUsers","UsersService","getUsers","qFetchusers","{}",""
"friendfamilycheck","FriendfamilycheckService","listFriendfamilycheck","qFriendfamilycheck","{}",""
"contacts","ContactsService","listContacts","qContacts","{}",""
"categories","CategoriesService","listCategories","qCategories","{}",""
"items","ItemsService","listItems","qItems","{}",""
"notesContact","NotescontactService","listNotescontact","qNotescontact","{}",""
"SystemsContact","SystemscontactService","listSystemscontact","qSystemscontact","{}",""
"tagsContact","TagscontactService","listTagscontact","qTagscontact","{}",""
"profiles","ProfilesService","listProfiles","qProfiles","{}",""
"sysactive","SysactiveService","listSysactive","qSysactive","{}",""
"notsall","NotsallService","listNotsall","qNotsall","{}",""
"events","EventsService","listEvents","qEvents","{}",""
"systemNotificationsActive","SystemnotificationsactiveService","listSystemnotificationsactive","qSystemnotificationsactive","{}",""
"SystemsActiveContact","SystemsactivecontactService","listSystemsactivecontact","qSystemsactivecontact","{}",""
"ru","RuService","listRu","qRu","{}",""
"emailcheck","EmailcheckService","listEmailcheck","qEmailcheck","{}",""
"phonecheck","PhonecheckService","listPhonecheck","qPhonecheck","{}",""
"rels","RelsService","listRels","qRels","{}",""
"fetchcontactitems","ContactitemsService","getContactitems","qFetchcontactitems","{}",""
"tagFriendCheck","TagfriendcheckService","listTagfriendcheck","qTagfriendcheck","{}",""
"update","AteService","updateAte","qUpdate","{}",""
"attachdetails_25_1","AttachdetailsService","listAttachdetails","qAttachdetails","{}",""
"del_25_2","DelService","listDel","qDel","{}",""
"durations","DurationsService","listDurations","qDurations","{}",""
"duration_467_1","DurationService","listDuration","qDuration","{}",""
"update_18_1","AteService","updateAte","qUpdate","{}",""
"d_18_2","DService","listD","qD","{}",""
"FIND_18_3","FindService","listFind","qFIND","{}",""
"add_14_6","AddService","listAdd","qAdd","{}",""
"inserts_18_5","InsertsService","createS","qInserts","{}",""
"getNoteDetails","NotedetailsService","getNotedetails","qGetnotedetails","{}",""
"eventdetails_334_3","EventdetailsService","listEventdetails","qEventdetails","{}",""
"relationships_13_1","RelationshipsService","listRelationships","qRelationships","{}",""
"eventtypes_user_443_2","EventtypesService","listByEventtypes","qEventtypesuser","{}",""
"finde_17_1","FindeService","findE","qFinde","{}",""
"results_330_1","ResultsService","listResults","qResults","{}",""
"priorities_330_2","PrioritiesService","listPriorities","qPriorities","{}",""
"vers_330_3","VersService","listVers","qVers","{}",""
"fetchusers","UsersService","getUsers","qFetchusers","{}",""
"INSERT_22_1","ErtService","createErt","qINSERT","{}",""
"notesEvent_508_1","NoteseventService","listNotesevent","qNotesevent","{}",""
"attendees_336_5","AttendeesService","listAttendees","qAttendees","{}",""
"notesContactDetails_180_2","NotescontactdetailsService","listNotescontactdetails","qNotescontactdetails","{}",""
"addfuSystemUsers","FusystemusersService","createFusystemusers","qAddfusystemusers","{}",""
"addDaysNo_5_2","DaysnoService","createDaysno","qAdddaysno","{}",""
"checkUnique_5_3","CheckuniqueService","listCheckunique","qCheckunique","{}",""
"addNotification_5_4","NotificationService","createNotification","qAddnotification","{}",""
"update_9_1","AteService","updateAte","qUpdate","{}",""
"delete_15_1","EteService","deleteEte","qDelete","{}",""
"delSystemNotifications","SystemnotificationsService","deleteSystemnotifications","qDelsystemnotifications","{}",""
"getFuSystemUsersBySystemID","FusystemusersbysystemidService","getFusystemusersbysystemid","qGetfusystemusersbysystemid","{}",""
"checkUnique_157_8","CheckuniqueService","listCheckunique","qCheckunique","{}",""
"addNotification_326_1","NotificationService","createNotification","qAddnotification","{}",""
"InsertNote_4_1","NoteService","createNote","qInsertnote","{}",""
"DeleteNote_4_2","NoteService","deleteNote","qDeletenote","{}",""
"DeleteNote_4_4","NoteService","deleteNote","qDeletenote","{}",""
"add_14_1","AddService","listAdd","qAdd","{}",""
"t_14_2","TService","listT","qT","{}",""
"tt_14_3","TtService","listTt","qTt","{}",""
"dd_14_4","DdService","listDd","qDd","{}",""
"FIND_14_5","FindService","listFind","qFIND","{}",""
"inserts_14_7","InsertsService","createS","qInserts","{}",""
"InsertNote_14_8","NoteService","createNote","qInsertnote","{}",""
"audprojects_ins","AudprojectsService","listAudprojects_Ins","qAudprojectsins","{}",""
"audroles_ins","AudrolesService","listAudroles_Ins","qAudrolesins","{}",""
"auditions_ins","AuditionsService","listAuditions_Ins","qAuditionsins","{}",""
"finall_20_1","FinallService","listFinall","qFinall","{}",""
"insert_564_1","ErtService","createErt","qInsert","{}",""
"notesevent","NoteseventService","listNotesevent","qNotesevent","{}",""
"results_43_1","ResultsService","listResults","qResults","{}",""
"audlocations_ins_58_1","AudlocationsService","listAudlocations_Ins","qAudlocationsins","{}",""
"SEL_Media_types_material","SelmediatypesmaterialService","find_Media_Types_Material","qSelmediatypesmaterial","{}",""
"audplatforms_sel","AudplatformsService","listAudplatforms","qAudplatformssel","{}",""
"incometypes_sel","IncometypesService","listIncometypes","qIncometypessel","{}",""
"audpaycyles_sel","AudpaycylesService","listAudpaycyles","qAudpaycylessel","{}",""
"book_det_57_1","BookService","listBook_Det","qBookdet","{}",""
"audessences_audtion_xref_49_1","AudessencesService","listAudessences_Audtion_Xref","qAudessencesaudtionxref","{}",""
"findit_49_2","ItService","findIt","qFindit","{}",""
"audgenres_audition_xref","AudgenresService","listAudgenres_Audition_Xref","qAudgenresauditionxref","{}",""
"audvocaltypes_audition_xref","AudvocaltypesService","listAudvocaltypes_Audition_Xref","qAudvocaltypesauditionxref","{}",""
"getAuditionMaterials","AuditionmaterialsService","getAuditionmaterials","qGetauditionmaterials","{}",""
"getAuditionMediaPicklist","AuditionmediapicklistService","getAuditionmediapicklist","qGetauditionmediapicklist","{}",""
"getAuditionMediaTypes","AuditionmediatypesService","getAuditionmediatypes","qGetauditionmediatypes","{}",""
"getAuditionLinks","AuditionlinksService","getAuditionlinks","qGetauditionlinks","{}",""
"insert_41_1","ErtService","createErt","qInsert","{}",""
"x_41_2","XService","listX","qX","{}",""
"insert_41_3","ErtService","createErt","qInsert","{}",""
"update_56_1","AteService","updateAte","qUpdate","{}",""
"getContactsByAudProject","ContactsbyaudprojectService","getContactsbyaudproject","qGetcontactsbyaudproject","{}",""
"audcontacts_sel_349_2","AudcontactsService","listAudcontacts","qAudcontactssel","{}",""
"mytags_48_1","MytagsService","listMytags","qMytags","{}",""
"Findphone_48_2","PhoneService","findPhone","qFindphone","{}",""
"Findemail_48_3","EmailService","findEmail","qFindemail","{}",""
"getSocialIcons","SocialiconsService","getSocialicons","qGetsocialicons","{}",""
"getRemindersByRelationship","RemindersbyrelationshipService","getRemindersbyrelationship","qGetremindersbyrelationship","{}",""
"audcategories_sel","AudcategoriesService","listAudcategories","qAudcategoriessel","{}",""
"up_31_1","UpService","listUp","qUp","{}",""
"audsteps_sel_31_2","AudstepsService","listAudsteps","qAudstepssel","{}",""
"audtypes_sel_31_3","AudtypesService","listAudtypes","qAudtypessel","{}",""
"cds_31_4","CdsService","listCds","qCds","{}",""
"cos_31_5","CosService","listCos","qCos","{}",""
"audmedia","AudmediaService","listAudmedia","qAudmedia","{}",""
"types_44_1","TypesService","listTypes","qTypes","{}",""
"audunions_sel_40_1","AudunionsService","listAudunions","qAudunionssel","{}",""
"auds_byrole","AudsService","listAuds_Byrole","qAudsbyrole","{}",""
"aud_questions","AudService","listAud_Questions","qAudquestions","{}",""
"xx_55_1","XxService","listXx","qXx","{}",""
"update_55_2","AteService","updateAte","qUpdate","{}",""
"auditions_ins_32_1","AuditionsService","listAuditions_Ins","qAuditionsins","{}",""
"audroles_ins_39_1","AudrolesService","listAudroles_Ins","qAudrolesins","{}",""
"bro_add_53_1","BroService","listBro_Add","qBroadd","{}",""
"audmedia_38_1","AudmediaService","listAudmedia","qAudmedia","{}",""
"auditions","AuditionsService","listAuditions","qAuditions","{}",""
"dashboardzz_93_1","DashboardzzService","listDashboardzz","qDashboardzz","{}",""
"menuitems","MenuitemsService","listMenuitems","qMenuitems","{}",""
"menuItemsa_496_2","MenuitemsaService","listMenuitemsa","qMenuitemsa","{}",""
"menuItemsAud_496_3","MenuitemsaudService","listMenuitemsaud","qMenuitemsaud","{}",""
"FindLinksT","LinkstService","findLinkst","qFindlinkst","{}",""
"FindLinksB","LinksbService","findLinksb","qFindlinksb","{}",""
"rolecheck_90_1","RolecheckService","listRolecheck","qRolecheck","{}",""
"audlocations_upd_37_1","AudlocationsService","listAudlocations_Upd","qAudlocationsupd","{}",""
"steps_29_1","StepsService","listSteps","qSteps","{}",""
"rolecheck_29_2","RolecheckService","listRolecheck","qRolecheck","{}",""
"audunions_sel","AudunionsService","listAudunions","qAudunionssel","{}",""
"audnetworks_user_sel","AudnetworksService","listAudnetworks_User","qAudnetworksusersel","{}",""
"audtones_sel","AudtonesService","listAudtones","qAudtonessel","{}",""
"audcontracttypes_sel","AudcontracttypesService","listAudcontracttypes","qAudcontracttypessel","{}",""
"notesaud","NotesaudService","listNotesaud","qNotesaud","{}",""
"auditionDetails_29_3","AuditiondetailsService","listAuditiondetails","qAuditiondetails","{}",""
"findstep_29_4","StepService","findStep","qFindstep","{}",""
"callback_check_29_5","CallbackService","listCallback_Check","qCallbackcheck","{}",""
"Redirect_check_29_6","RedirectService","listRedirect_Check","qRedirectcheck","{}",""
"Pin_check_29_7","PinService","listPin_Check","qPincheck","{}",""
"Booked_check_29_8","BookedService","listBooked_Check","qBookedcheck","{}",""
"update_92_1","AteService","updateAte","qUpdate","{}",""
"del_99_1","DelService","listDel","qDel","{}",""
"itemsbycatActive","ItemsbycatactiveService","listItemsbycatactive","qItemsbycatactive","{}",""
"x_91_1","XService","listX","qX","{}",""
"update_91_2","AteService","updateAte","qUpdate","{}",""
"myteam_499_1","MyteamService","listMyteam","qMyteam","{}",""
"findtag_97_1","TagService","findTag","qFindtag","{}",""
"qFiltered_77_1","QfilteredService","listQfiltered","qQfiltered","{}",""
"qCount_77_2","QcountService","listQcount","qQcount","{}",""
"fetchLocationService","LocationserviceService","getLocationservice","qFetchlocationservice","{}",""
"audplatforms_user_sel","AudplatformsService","listAudplatforms_User","qAudplatformsusersel","{}",""
"cities_448_1","CitiesService","listCities","qCities","{}",""
"cat_27_1","CatService","listCat","qCat","{}",""
"audroletypes_sel_27_2","AudroletypesService","listAudroletypes","qAudroletypessel","{}",""
"audtypes_sel_27_3","AudtypesService","listAudtypes","qAudtypessel","{}",""
"casting_types_27_4","CastingService","listCasting_Types","qCastingtypes","{}",""
"castingdirectors_sel","CastingdirectorsService","listCastingdirectors","qCastingdirectorssel","{}",""
"uu_33_1","UuService","listUu","qUu","{}",""
"folowup_body","FolowupService","listFolowup_Body","qFolowupbody","{}",""
"addmissing_33_3","MissingService","createMissing","qAddmissing","{}",""
"details_456_1","DetailsService","listDetails","qDetails","{}",""
"eventresults","EventresultsService","listEventresults","qEventresults","{}",""
"contacts_333_1","ContactsService","listContacts","qContacts","{}",""
"categories_446_1","CategoriesService","listCategories","qCategories","{}",""
"items_488_1","ItemsService","listItems","qItems","{}",""
"notesContact_507_1","NotescontactService","listNotescontact","qNotescontact","{}",""
"Systems_540_1","SystemsService","listSystems","qSystems","{}",""
"TagsContact_541_1","TagscontactService","listTagscontact","qTagscontact","{}",""
"profiles_516_1","ProfilesService","listProfiles","qProfiles","{}",""
"sysActive_537_1","SysactiveService","listSysactive","qSysactive","{}",""
"notsall_512_1","NotsallService","listNotsall","qNotsall","{}",""
"eventss_443_1","EventssService","listEventss","qEventss","{}",""
"findscope","ScopeService","findScope","qFindscope","{}",""
"sysAvail_539_3","SysavailService","listSysavail","qSysavail","{}",""
"emailcheck_469_1","EmailcheckService","listEmailcheck","qEmailcheck","{}",""
"phonecheck_515_1","PhonecheckService","listPhonecheck","qPhonecheck","{}",""
"findcompany_476_1","CompanyService","findCompany","qFindcompany","{}",""
"notesRelationship_509_1","NotesrelationshipService","listNotesrelationship","qNotesrelationship","{}",""
"cu_83_1","CuService","listCu","qCu","{}",""
"c_83_2","CService","listC","qC","{}",""
"notsactive_510_1","NotsactiveService","listNotsactive","qNotsactive","{}",""
"notsInactive_510_2","NotsinactiveService","listNotsinactive","qNotsinactive","{}",""
"reminders_511_1","RemindersService","listReminders","qReminders","{}",""
"lastupdates","LastupdatesService","listLastupdates","qLastupdates","{}",""
"tags_76_1","TagsService","listTags","qTags","{}",""
"inscontactdetails","ContactdetailsService","createContactdetails","qInscontactdetails","{}",""
"insert_28_2","ErtService","createErt","qInsert","{}",""
"insert_28_3","ErtService","createErt","qInsert","{}",""
"insContactDetails","ContactdetailsService","createContactdetails","qInscontactdetails","{}",""
"insert_28_5","ErtService","createErt","qInsert","{}",""
"insert_28_6","ErtService","createErt","qInsert","{}",""
"insert_28_8","ErtService","createErt","qInsert","{}",""
"FIND_28_10","FindService","listFind","qFIND","{}",""
"insert_28_11","ErtService","createErt","qInsert","{}",""
"add_cd_28_12","AddcdService","create_Cd","qAddcd","{}",""
"dashboardoptions","DashboardoptionsService","listDashboardoptions","qDashboardoptions","{}",""
"audsubcategories_sel","AudsubcategoriesService","listAudsubcategories","qAudsubcategoriessel","{}",""
"auditionprojectDetails_66_1","AuditionprojectdetailsService","listAuditionprojectdetails","qAuditionprojectdetails","{}",""
"add_82_1","AddService","listAdd","qAdd","{}",""
"find_d_104_1","FinddService","find_D","qFindd","{}",""
"deletesystem_104_2","SystemService","deleteSystem","qDeletesystem","{}",""
"update_101_1","AteService","updateAte","qUpdate","{}",""
"x_94_1","XService","listX","qX","{}",""
"pgpanels_94_2","PgpanelsService","listPgpanels","qPgpanels","{}",""
"delete_102_1","EteService","deleteEte","qDelete","{}",""
"deletenote_103_1","NoteService","deleteNote","qDeletenote","{}",""
"regions","RegionsService","listRegions","qRegions","{}",""
"cities","CitiesService","listCities","qCities","{}",""
"deleteticket_105_1","TicketService","deleteTicket","qDeleteticket","{}",""
"deleteticket_100_1","TicketService","deleteTicket","qDeleteticket","{}",""
"imports","ImportsService","listImports","qImports","{}",""
"Findchild_107_1","ChildService","findChild","qFindchild","{}",""
"FindDetails_107_2","DetailsService","findDetails","qFinddetails","{}",""
"FindModalTitle_107_3","ModaltitleService","findModaltitle","qFindmodaltitle","{}",""
"find_107_4","FindService","listFind","qFind","{}",""
"FindValue_107_5","ValueService","findValue","qFindvalue","{}",""
"FindValue_107_6","ValueService","findValue","qFindvalue","{}",""
"selects_107_7","EctsService","findEcts","qSelects","{}",""
"FindValue_107_8","ValueService","findValue","qFindvalue","{}",""
"selects_107_9","EctsService","findEcts","qSelects","{}",""
"selects_107_11","EctsService","findEcts","qSelects","{}",""
"selects_107_12","EctsService","findEcts","qSelects","{}",""
"details_106_1","DetailsService","listDetails","qDetails","{}",""
"U_73_1","UService","listU","qU","{}",""
"C_73_2","CService","listC","qC","{}",""
"getNotificationById","NotificationbyidService","getNotificationbyid","qGetnotificationbyid","{}",""
"addNotification_72_1","NotificationService","createNotification","qAddnotification","{}",""
"updateContact_72_2","ContactService","updateContact","qUpdatecontact","{}",""
"addNotification_71_3","NotificationService","createNotification","qAddnotification","{}",""
"notsnext","NotsnextService","listNotsnext","qNotsnext","{}",""
"updatesystem_72_4","SystemService","updateSystem","qUpdatesystem","{}",""
"updatesystem_72_5","SystemService","updateSystem","qUpdatesystem","{}",""
"checkformaint_72_6","CheckformaintService","listCheckformaint","qCheckformaint","{}",""
"findSystem_71_7","SystemService","findSystem","qFindsystem","{}",""
"Insert_72_8","ErtService","createErt","qInsert","{}",""
"attachdetails_109_1","AttachdetailsService","listAttachdetails","qAttachdetails","{}",""
"getNotificationByID","NotificationbyidService","getNotificationbyid","qGetnotificationbyid","{}",""
"addNotification_71_1","NotificationService","createNotification","qAddnotification","{}",""
"updateContact_71_2","ContactService","updateContact","qUpdatecontact","{}",""
"updatesystem_71_4","SystemService","updateSystem","qUpdatesystem","{}",""
"updatesystem_71_5","SystemService","updateSystem","qUpdatesystem","{}",""
"checkformaint_71_6","CheckformaintService","listCheckformaint","qCheckformaint","{}",""
"Insert_71_8","ErtService","createErt","qInsert","{}",""
"audprojects_ins_67_1","AudprojectsService","listAudprojects_Ins","qAudprojectsins","{}",""
"update_68_1","AteService","updateAte","qUpdate","{}",""
"update_68_2","AteService","updateAte","qUpdate","{}",""
"updateNotificationCompleted","NotificationcompletedService","updateNotificationcompleted","qUpdatenotificationcompleted","{}",""
"updateContactUnique","ContactuniqueService","updateContactunique","qUpdatecontactunique","{}",""
"addNotification","NotificationService","createNotification","qAddnotification","{}",""
"getNotificationsBySystem","NotificationsbysystemService","getNotificationsbysystem","qGetnotificationsbysystem","{}",""
"updateNotificationNext","NotificationnextService","updateNotificationnext","qUpdatenotificationnext","{}",""
"updateSystemUserCompleted","SystemusercompletedService","updateSystemusercompleted","qUpdatesystemusercompleted","{}",""
"addNotifications","NotificationsService","createNotifications","qAddnotifications","{}",""
"findSystemByScope","SystembyscopeService","findSystembyscope","qFindsystembyscope","{}",""
"duration","DurationService","listDuration","qDuration","{}",""
"update_618_1","AteService","updateAte","qUpdate","{}",""
"inserts_619_2","InsertsService","createS","qInserts","{}",""
"updateActionUsersByExcludeAction","ActionusersbyexcludeactionService","updateActionusersbyexcludeaction","qUpdateactionusersbyexcludeaction","{}",""
"Find_114_1","FindService","listFind","qFind","{}",""
"update_114_2","AteService","updateAte","qUpdate","{}",""
"update_114_3","AteService","updateAte","qUpdate","{}",""
"update_113_1","AteService","updateAte","qUpdate","{}",""
"export_ac_31_6","ExportService","listExport_Ac","qExportac","{}",""
"AddExport_115_1","ExportService","createExport","qAddexport","{}",""
"x_115_2","XService","listX","qX","{}",""
"find_new_Website_115_3","FindnewwebsiteService","find_New_Website","qFindnewwebsite","{}",""
"find_new_BusinessEmail_115_4","FindnewbusinessemailService","find_New_Businessemail","qFindnewbusinessemail","{}",""
"find_new_PersonalEmail_115_5","FindnewpersonalemailService","find_New_Personalemail","qFindnewpersonalemail","{}",""
"find_new_Company_115_6","FindnewcompanyService","find_New_Company","qFindnewcompany","{}",""
"find_new_WorkPhone_115_7","FindnewworkphoneService","find_New_Workphone","qFindnewworkphone","{}",""
"find_new_mobilePhone_115_8","FindnewmobilephoneService","find_New_Mobilephone","qFindnewmobilephone","{}",""
"find_new_homePhone_115_9","FindnewhomephoneService","find_New_Homephone","qFindnewhomephone","{}",""
"find_new_address_115_10","FindnewaddressService","find_New_Address","qFindnewaddress","{}",""
"find_new_address_other_115_11","FindnewaddressotherService","find_New_Address_Other","qFindnewaddressother","{}",""
"find_new_tag_115_12","FindnewtagService","find_New_Tag","qFindnewtag","{}",""
"insert_115_13","ErtService","createErt","qInsert","{}",""
"updateExport_115_14","ExportService","updateExport","qUpdateexport","{}",""
"export_ac_115_15","ExportService","listExport_Ac","qExportac","{}",""
"fetch_folowup","FetchfolowupService","get_Folowup","qFetchfolowup","{}",""
"results_125_1","ResultsService","listResults","qResults","{}",""
"getAuditionImportErrors","AuditionimporterrorsService","getAuditionimporterrors","qGetauditionimporterrors","{}",""
"queryFullNames_129_1","QueryfullnamesService","listQueryfullnames","qQueryfullnames","{}",""
"itemDetails_130_1","ItemdetailsService","listItemdetails","qItemdetails","{}",""
"getRecord_132_1","RecordService","getRecord","qGetrecord","{}",""
"getCategories_132_2","CategoriesService","getCategories","qGetcategories","{}",""
"getSources_132_3","SourcesService","getSources","qGetsources","{}",""
"updateUserToken_133_1","UsertokenService","updateUsertoken","qUpdateusertoken","{}",""
"FindRefPage_135_1","RefpageService","findRefpage","qFindrefpage","{}",""
"FindRefcontacts_135_2","RefcontactsService","findRefcontacts","qFindrefcontacts","{}",""
"FindRefPage_136_1","RefpageService","findRefpage","qFindrefpage","{}",""
"results_142_1","ResultsService","listResults","qResults","{}",""
"upload_details_141_1","UploadService","getUploadDetails","qUploaddetails","{}",""
"results_141_2","ResultsService","listResults","qResults","{}",""
"getAuditionUploadDetails","AuditionuploaddetailsService","getAuditionuploaddetails","qGetauditionuploaddetails","{}",""
"getAuditionImportResults","AuditionimportresultsService","getAuditionimportresults","qGetauditionimportresults","{}",""
"auditions_import","AuditionsService","listAuditions_Import","qAuditionsimport","{}",""
"findid_146_1","IdService","findId","qFindid","{}",""
"Insert_ReportItems_146_2","InsertreportitemsService","create_Reportitems","qInsertreportitems","{}",""
"update_145_1","AteService","updateAte","qUpdate","{}",""
"find_150_1","FindService","listFind","qFind","{}",""
"deletelink_150_2","LinkService","deleteLink","qDeletelink","{}",""
"add_149_1","AddService","listAdd","qAdd","{}",""
"headshots_sel_479_1","HeadshotsService","listHeadshots","qHeadshotssel","{}",""
"audition","AuditionService","listAudition","qAudition","{}",""
"headshots_377_2","HeadshotsService","listHeadshots","qHeadshots","{}",""
"update_151_1","AteService","updateAte","qUpdate","{}",""
"linkmedia_152_1","LinkmediaService","listLinkmedia","qLinkmedia","{}",""
"fin_recordname_157_1","FinService","listFin_Recordname","qFinrecordname","{}",""
"find_fu_157_2","FindfuService","find_Fu","qFindfu","{}",""
"addSystem_157_3","SystemService","createSystem","qAddsystem","{}",""
"CompleteTargetSystems_157_4","CompletetargetsystemsService","listCompletetargetsystems","qCompletetargetsystems","{}",""
"sudetails_157_5","SudetailsService","listSudetails","qSudetails","{}",""
"Insert_157_6","ErtService","createErt","qInsert","{}",""
"addDaysNo_157_7","DaysnoService","createDaysno","qAdddaysno","{}",""
"addNotification_157_9","NotificationService","createNotification","qAddnotification","{}",""
"addNotification_157_10","NotificationService","createNotification","qAddnotification","{}",""
"essence_sel_470_1","EssenceService","listEssence","qEssencesel","{}",""
"headshots_sel_478_1","HeadshotsService","listHeadshots","qHeadshotssel","{}",""
"sitetypes_535_1","SitetypesService","listSitetypes","qSitetypes","{}",""
"mylinks_159_1","MylinksService","listMylinks","qMylinks","{}",""
"mylinks_user_164_2","MylinksService","listByMylinks","qMylinksuser","{}",""
"mylinks_user_del_164_3","MylinksService","listMylinks_User_Del","qMylinksuserdel","{}",""
"master_164_4","MasterService","listMaster","qMaster","{}",""
"materials_sel","MaterialsService","listMaterials","qMaterialssel","{}",""
"events_166_1","EventsService","listEvents","qEvents","{}",""
"getMyTeam","MyteamService","getMyteam","qGetmyteam","{}",""
"InsertNote_169_1","NoteService","createNote","qInsertnote","{}",""
"CLEAN_169_2","CleanService","listClean","qCLEAN","{}",""
"InsertNote_171_1","NoteService","createNote","qInsertnote","{}",""
"InsertNote_173_1","NoteService","createNote","qInsertnote","{}",""
"updatenote_175_1","NoteService","updateNote","qUpdatenote","{}",""
"updatenote_177_1","NoteService","updateNote","qUpdatenote","{}",""
"updatenote_179_1","NoteService","updateNote","qUpdatenote","{}",""
"notesEvent_180_1","NoteseventService","listNotesevent","qNotesevent","{}",""
"links_181_1","LinksService","listLinks","qLinks","{}",""
"attachments_181_2","AttachmentsService","listAttachments","qAttachments","{}",""
"getLinksByNoteId","LinksbynoteidService","getLinksbynoteid","qGetlinksbynoteid","{}",""
"links_183_1","LinksService","listLinks","qLinks","{}",""
"notes_186_1","NotesService","listNotes","qNotes","{}",""
"Finddetails_185_1","DetailsService","findDetails","qFinddetails","{}",""
"FindResults_185_2","ResultsService","findResults","qFindresults","{}",""
"FindKey_185_3","KeyService","findKey","qFindkey","{}",""
"find_185_4","FindService","listFind","qFind","{}",""
"sql1_185_5","SqlService","listSql1","qSql1","{}",""
"sq2_185_6","SqService","listSq2","qSq2","{}",""
"FindUser_188_1","UserService","findUser","qFinduser","{}",""
"InsertContact_188_2","ContactService","createContact","qInsertcontact","{}",""
"InsertContact_188_3","ContactService","createContact","qInsertcontact","{}",""
"InsertContact_188_4","ContactService","createContact","qInsertcontact","{}",""
"FindUser_188_5","UserService","findUser","qFinduser","{}",""
"FindPage_188_6","PageService","findPage","qFindpage","{}",""
"FindFields_188_7","FieldsService","findFields","qFindfields","{}",""
"FindLinksT_188_8","LinkstService","findLinkst","qFindlinkst","{}",""
"FindLinksB_188_9","LinksbService","findLinksb","qFindlinksb","{}",""
"FindLinksExtra_188_10","LinksextraService","findLinksextra","qFindlinksextra","{}",""
"update_187_1","AteService","updateAte","qUpdate","{}",""
"update_187_2","AteService","updateAte","qUpdate","{}",""
"subsites_189_1","SubsitesService","listSubsites","qSubsites","{}",""
"pupdate_191_5","PupdateService","listPupdate","qPupdate","{}",""
"z_191_6","ZService","listZ","qZ","{}",""
"update_191_7","AteService","updateAte","qUpdate","{}",""
"delete_191_8","EteService","deleteEte","qDelete","{}",""
"fix_191_9","FixService","listFix","qFix","{}",""
"correct_191_10","CorrectService","listCorrect","qCorrect","{}",""
"remove_191_11","RemoveService","listRemove","qRemove","{}",""
"remove2_191_12","RemoveService","listRemove2","qRemove2","{}",""
"actiondetails_194_1","ActiondetailsService","listActiondetails","qActiondetails","{}",""
"updateActionUsersByActionUpdate","ActionusersbyactionupdateService","updateActionusersbyactionupdate","qUpdateactionusersbyactionupdate","{}",""
"k_195_2","KService","listK","qK","{}",""
"up_195_3","UpService","listUp","qUp","{}",""
"getCategories_196_1","CategoriesService","getCategories","qGetcategories","{}",""
"find_197_1","FindService","listFind","qFind","{}",""
"update_197_2","AteService","updateAte","qUpdate","{}",""
"add_197_3","AddService","listAdd","qAdd","{}",""
"details_198_1","DetailsService","listDetails","qDetails","{}",""
"types_198_2","TypesService","listTypes","qTypes","{}",""
"types_198_3","TypesService","listTypes","qTypes","{}",""
"companies_198_4","CompaniesService","listCompanies","qCompanies","{}",""
"insert_199_1","ErtService","createErt","qInsert","{}",""
"insertx_199_2","InsertxService","createX","qInsertx","{}",""
"add_199_3","AddService","listAdd","qAdd","{}",""
"findcountry_199_4","CountryService","findCountry","qFindcountry","{}",""
"findregion_199_5","RegionService","findRegion","qFindregion","{}",""
"update_199_6","AteService","updateAte","qUpdate","{}",""
